período,carga,apps,feature,método,nmae,
2,FlashcrowdLoad,BothApps,DispFrames,RT,0.08302532617828846,
2,FlashcrowdLoad,BothApps,DispFrames,RF,0.07809008070904364,
4,FlashcrowdLoad,BothApps,DispFrames,RT,0.08478425043708554,
4,FlashcrowdLoad,BothApps,DispFrames,RF,0.08321798413043252,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.09570150307257931,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.09038084585893814,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.10290696466776061,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.09443312111833496,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.10109029595225041,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.09605293555806119,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.10792350436902541,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.10262215164321446,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.1224918447679454,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.11537652364974078,
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.11342259943867149,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.11017887806927892,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.23405844670303552,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.20131675392387982,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.25315789303697095,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2078742236476208,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.26048103062252737,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2169456153936712,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.26815018888132575,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2249142426090033,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.3251134770924147,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.23563448589197927,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.28438980374464246,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.23861842458616656,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.32364711967414495,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.25563576216029815,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.315705185123001,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.25579477344078766,
2,PeriodicLoad,BothApps,DispFrames,RT,0.13335436299830447,
2,PeriodicLoad,BothApps,DispFrames,RF,0.12593694668041103,
4,PeriodicLoad,BothApps,DispFrames,RT,0.13664589286116047,
4,PeriodicLoad,BothApps,DispFrames,RF,0.12849840821652755,
8,PeriodicLoad,BothApps,DispFrames,RT,0.13944252202049254,
8,PeriodicLoad,BothApps,DispFrames,RF,0.13222823603870812,
16,PeriodicLoad,BothApps,DispFrames,RT,0.14497858859146132,
16,PeriodicLoad,BothApps,DispFrames,RF,0.1352582499104341,
32,PeriodicLoad,BothApps,DispFrames,RT,0.1477405707084346,
32,PeriodicLoad,BothApps,DispFrames,RF,0.14218070183334836,
64,PeriodicLoad,BothApps,DispFrames,RT,0.1574189403204626,
64,PeriodicLoad,BothApps,DispFrames,RF,0.14722765469393734,
128,PeriodicLoad,BothApps,DispFrames,RT,0.15729302884210644,
128,PeriodicLoad,BothApps,DispFrames,RF,0.14319590444707606,
256,PeriodicLoad,BothApps,DispFrames,RT,0.17272973308224046,
256,PeriodicLoad,BothApps,DispFrames,RF,0.14924944650556127,
2,PeriodicLoad,BothApps,noAudioPlayed,RT,0.38950364947702254,
2,PeriodicLoad,BothApps,noAudioPlayed,RF,0.2993023058633367,
4,PeriodicLoad,BothApps,noAudioPlayed,RT,0.3786215955102528,
4,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3045510494048287,
8,PeriodicLoad,BothApps,noAudioPlayed,RT,0.40593878253881693,
8,PeriodicLoad,BothApps,noAudioPlayed,RF,0.31450279348314814,
16,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4054363396848478,
16,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3295340623057893,
32,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4117570366936594,
32,PeriodicLoad,BothApps,noAudioPlayed,RF,0.33733959501286864,
64,PeriodicLoad,BothApps,noAudioPlayed,RT,0.39265217391304347,
64,PeriodicLoad,BothApps,noAudioPlayed,RF,0.34410217391304343,
128,PeriodicLoad,BothApps,noAudioPlayed,RT,0.41625892370301626,
128,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3410609201088598,
256,PeriodicLoad,BothApps,noAudioPlayed,RT,0.39710395816427735,
256,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3604096715054248,
2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09789518118161201,
2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09409818211414414,
4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10316840439204406,
4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09479140407934993,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10206471189683036,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09645309734270038,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10380398410324627,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09966988485043775,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10836270187862287,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10284909319021592,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10931095303947466,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10730433804511942,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12379775912215758,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10748715130883132,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09339187778295911,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09712394888915486,
2,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.27022945766901624,
2,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.2148147022876814,
4,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.28301906207393307,
4,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.22491847383359487,
8,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.2825948723493537,
8,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.23415391704831856,
16,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.28339499410950125,
16,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.2398409565343199,
32,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.2982430513912593,
32,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.23575112371931878,
64,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.29701452359282665,
64,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.2409745420517619,
128,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.28355091114469483,
128,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.2510812912310383,
256,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.26103446774618994,
256,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.248961558522267,
2,PeriodicLoad,SingleApp,DispFrames,RT,0.09883808171955795,
2,PeriodicLoad,SingleApp,DispFrames,RF,0.0936921829058096,
4,PeriodicLoad,SingleApp,DispFrames,RT,0.10388582101672893,
4,PeriodicLoad,SingleApp,DispFrames,RF,0.09808273780520815,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.10351566467717885,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.09745060476908264,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.10194954082065923,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.09523866811706141,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.10385404252904315,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.09732707206805512,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.10430568408747747,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.1012037014487577,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.10034492809949475,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.10071246005527486,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.12148346926531868,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.11406622427966856,
2,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.2856249317434945,
2,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.2063995024307589,
4,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.2886459427047308,
4,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.21415218195419633,
8,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.2789340126730628,
8,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.2125242503095432,
16,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.29032556210859733,
16,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.22282163403052038,
32,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.298500014895582,
32,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.22549428506171737,
64,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.31916120576671037,
64,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.23059179512783703,
128,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.27882810221070925,
128,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.23281853169547542,
256,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.28099320568252006,
256,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.23419932056825196,
2,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.04450969834164499,
2,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.030866357464587994,
4,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.045508859741634385,
4,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.03393618217124075,
8,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.05487033683638315,
8,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.03434110432843356,
16,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.06341052740096495,
16,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.037840382235797956,
32,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.05514906602808593,
32,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.037129389752221874,
64,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.06484009278204195,
64,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.041609175932197644,
128,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.058535369655877245,
128,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.04710553227725777,
256,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.07121940892304024,
256,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.05032132225203288,
2,FlashcrowdLoad,BothApps,WritesAvg,RT,0.045208579793201455,
2,FlashcrowdLoad,BothApps,WritesAvg,RF,0.031307157299223495,
4,FlashcrowdLoad,BothApps,WritesAvg,RT,0.043715439918340336,
4,FlashcrowdLoad,BothApps,WritesAvg,RF,0.031790762883876174,
8,FlashcrowdLoad,BothApps,WritesAvg,RT,0.04917948491363714,
8,FlashcrowdLoad,BothApps,WritesAvg,RF,0.03283684804975346,
16,FlashcrowdLoad,BothApps,WritesAvg,RT,0.04964634814659659,
16,FlashcrowdLoad,BothApps,WritesAvg,RF,0.03499945701715398,
32,FlashcrowdLoad,BothApps,WritesAvg,RT,0.04973672332096221,
32,FlashcrowdLoad,BothApps,WritesAvg,RF,0.037202301645777695,
64,FlashcrowdLoad,BothApps,WritesAvg,RT,0.05171610096748968,
64,FlashcrowdLoad,BothApps,WritesAvg,RF,0.03978920929123383,
128,FlashcrowdLoad,BothApps,WritesAvg,RT,0.05563794211967531,
128,FlashcrowdLoad,BothApps,WritesAvg,RF,0.043227961966646175,
256,FlashcrowdLoad,BothApps,WritesAvg,RT,0.0673486519171515,
256,FlashcrowdLoad,BothApps,WritesAvg,RF,0.04535827043641241,
2,PeriodicLoad,BothApps,ReadsAvg,RT,0.0553673471866289,
2,PeriodicLoad,BothApps,ReadsAvg,RF,0.0400174704231869,
4,PeriodicLoad,BothApps,ReadsAvg,RT,0.05486460889755406,
4,PeriodicLoad,BothApps,ReadsAvg,RF,0.03931684957183719,
8,PeriodicLoad,BothApps,ReadsAvg,RT,0.058121221185471084,
8,PeriodicLoad,BothApps,ReadsAvg,RF,0.04102175800878727,
16,PeriodicLoad,BothApps,ReadsAvg,RT,0.05765355275936692,
16,PeriodicLoad,BothApps,ReadsAvg,RF,0.04010712377221258,
32,PeriodicLoad,BothApps,ReadsAvg,RT,0.05628628231657371,
32,PeriodicLoad,BothApps,ReadsAvg,RF,0.040374221365784946,
64,PeriodicLoad,BothApps,ReadsAvg,RT,0.06674392609305133,
64,PeriodicLoad,BothApps,ReadsAvg,RF,0.04491234547955421,
128,PeriodicLoad,BothApps,ReadsAvg,RT,0.06112737763766644,
128,PeriodicLoad,BothApps,ReadsAvg,RF,0.04421754116547058,
256,PeriodicLoad,BothApps,ReadsAvg,RT,0.05487354404445305,
256,PeriodicLoad,BothApps,ReadsAvg,RF,0.044129497904662605,
2,PeriodicLoad,BothApps,WritesAvg,RT,0.05214285759389174,
2,PeriodicLoad,BothApps,WritesAvg,RF,0.03882515037075038,
4,PeriodicLoad,BothApps,WritesAvg,RT,0.05499347882452506,
4,PeriodicLoad,BothApps,WritesAvg,RF,0.03915567255789741,
8,PeriodicLoad,BothApps,WritesAvg,RT,0.0566756750304873,
8,PeriodicLoad,BothApps,WritesAvg,RF,0.03974369999907367,
16,PeriodicLoad,BothApps,WritesAvg,RT,0.05953178683069412,
16,PeriodicLoad,BothApps,WritesAvg,RF,0.0424524229158146,
32,PeriodicLoad,BothApps,WritesAvg,RT,0.05654194983709226,
32,PeriodicLoad,BothApps,WritesAvg,RF,0.04057687960177368,
64,PeriodicLoad,BothApps,WritesAvg,RT,0.06187602669515946,
64,PeriodicLoad,BothApps,WritesAvg,RF,0.043426059407777454,
128,PeriodicLoad,BothApps,WritesAvg,RT,0.0540567349182945,
128,PeriodicLoad,BothApps,WritesAvg,RF,0.04188089900700884,
256,PeriodicLoad,BothApps,WritesAvg,RT,0.05256292965381666,
256,PeriodicLoad,BothApps,WritesAvg,RF,0.041644843218656656,
2,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.02669511993843918,
2,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.01863435283693308,
4,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.026048800739219124,
4,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.018600176914596235,
8,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.02734879090159213,
8,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.018968890306645825,
16,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.0266489412931994,
16,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.01925200613946164,
32,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.02916867006073618,
32,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.019726703226650048,
64,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.027425900791075753,
64,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.019707507533733775,
128,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.025973953484595896,
128,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.020023829149602327,
256,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.03312527029359682,
256,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.022518817613414722,
2,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.02775058871625599,
2,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.020507578588420575,
4,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.028193464699172745,
4,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.020100326499855724,
8,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.02851655565401733,
8,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.02097104623228344,
16,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.030067028716311013,
16,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.020865133515492865,
32,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.03336786464801029,
32,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.021513307743238626,
64,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.03240538347748718,
64,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.02223146874131907,
128,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.02985688105765603,
128,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.023682980365828527,
256,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.03276880902935679,
256,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.02312775660260457,
2,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03039346845869811,
2,PeriodicLoad,SingleApp,ReadsAvg,RF,0.02170261066849591,
4,PeriodicLoad,SingleApp,ReadsAvg,RT,0.030841577351271066,
4,PeriodicLoad,SingleApp,ReadsAvg,RF,0.021828389329241017,
8,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03243737589800434,
8,PeriodicLoad,SingleApp,ReadsAvg,RF,0.022868121491688896,
16,PeriodicLoad,SingleApp,ReadsAvg,RT,0.032743203755654746,
16,PeriodicLoad,SingleApp,ReadsAvg,RF,0.023322504006522336,
32,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03375815873439356,
32,PeriodicLoad,SingleApp,ReadsAvg,RF,0.024294495471177357,
64,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03238129094485463,
64,PeriodicLoad,SingleApp,ReadsAvg,RF,0.02483906157882093,
128,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03370745312960044,
128,PeriodicLoad,SingleApp,ReadsAvg,RF,0.025686537496250984,
256,PeriodicLoad,SingleApp,ReadsAvg,RT,0.036838873756389966,
256,PeriodicLoad,SingleApp,ReadsAvg,RF,0.02781121672039541,
2,PeriodicLoad,SingleApp,WritesAvg,RT,0.03283248460007578,
2,PeriodicLoad,SingleApp,WritesAvg,RF,0.02325522143424211,
4,PeriodicLoad,SingleApp,WritesAvg,RT,0.03218706953997546,
4,PeriodicLoad,SingleApp,WritesAvg,RF,0.023411895376714686,
8,PeriodicLoad,SingleApp,WritesAvg,RT,0.033874070470347795,
8,PeriodicLoad,SingleApp,WritesAvg,RF,0.02426732974209625,
16,PeriodicLoad,SingleApp,WritesAvg,RT,0.0342337908655346,
16,PeriodicLoad,SingleApp,WritesAvg,RF,0.024075778900826586,
32,PeriodicLoad,SingleApp,WritesAvg,RT,0.03388935976142214,
32,PeriodicLoad,SingleApp,WritesAvg,RF,0.025448972921536864,
64,PeriodicLoad,SingleApp,WritesAvg,RT,0.037210837851226045,
64,PeriodicLoad,SingleApp,WritesAvg,RF,0.026302898938117027,
128,PeriodicLoad,SingleApp,WritesAvg,RT,0.037124453735249974,
128,PeriodicLoad,SingleApp,WritesAvg,RF,0.027555741115326216,
256,PeriodicLoad,SingleApp,WritesAvg,RT,0.042914784528040255,
256,PeriodicLoad,SingleApp,WritesAvg,RF,0.02986662924793391,
