k,regression_tree_ReadsAvg_minimal_univariate_nmae,regression_tree_ReadsAvg_minimal_univariate_training_time,random_forest_ReadsAvg_minimal_univariate_nmae,random_forest_ReadsAvg_minimal_univariate_training_time,
2,0.04023121505297746,0.0008800029754638672, 0.028652177526298343,0.0008800029754638672,
5,0.02940410851452262,0.0009996891021728516, 0.025371111003891965,0.0009996891021728516,
1,0.026128624382550522,0.0009534358978271484, 0.025583758032662107,0.0009534358978271484,
2,0.04023121505297746,0.0008525848388671875, 0.028652177526298322,0.0008525848388671875,
2,0.04023121505297746,0.0008418560028076172, 0.028652177526298343,0.0008418560028076172,
6,0.02893462508208735,0.0009446144104003906, 0.024622311412838587,0.0009446144104003906,
1,0.026128624382550522,0.0008249282836914062, 0.025583758032662107,0.0008249282836914062,
3,0.028991829832624088,0.0009138584136962891, 0.02557500437106798,0.0009138584136962891,
6,0.02940410851452262,0.0008959770202636719, 0.024622311412838566,0.0008959770202636719,
2,0.027188893071705363,0.000881195068359375, 0.0286521775262983,0.000881195068359375,
3,0.04023121505297746,0.0010383129119873047, 0.02557500437106796,0.0010383129119873047,
7,0.02839089103910695,0.0009822845458984375, 0.024179769106602928,0.0009822845458984375,
2,0.04023121505297746,0.0009007453918457031, 0.028652177526298343,0.0009007453918457031,
3,0.02899182983262413,0.0008604526519775391, 0.02557500437106798,0.0008604526519775391,
3,0.02899182983262413,0.000858306884765625, 0.02557500437106798,0.000858306884765625,
4,0.02940410851452262,0.0009427070617675781, 0.02388258609387161,0.0009427070617675781,
7,0.02839089103910695,0.0010972023010253906, 0.024179769106602952,0.0010972023010253906,
4,0.02893462508208735,0.0010483264923095703, 0.02388258609387167,0.0010483264923095703,
8,0.02839089103910695,0.0009059906005859375, 0.02577321032193244,0.0009059906005859375,
3,0.04023121505297746,0.0009012222290039062, 0.025575004371067998,0.0009012222290039062,
4,0.02940410851452262,0.0009195804595947266, 0.02388258609387161,0.0009195804595947266,
5,0.02940410851452262,0.0009438991546630859, 0.025371111003891965,0.0009438991546630859,
4,0.02839089103910695,0.0008993148803710938, 0.02388258609387163,0.0008993148803710938,
8,0.02839089103910695,0.0008180141448974609, 0.025773210321932423,0.0008180141448974609,
5,0.02940410851452262,0.0009903907775878906, 0.025371111003891944,0.0009903907775878906,
4,0.02940410851452262,0.0010297298431396484, 0.02388258609387159,0.0010297298431396484,
9,0.02241299460801889,0.001001119613647461, 0.021533813448759695,0.001001119613647461,
5,0.02792140760667168,0.0009284019470214844, 0.025371111003891986,0.0009284019470214844,
6,0.02792140760667168,0.0009324550628662109, 0.024622311412838504,0.0009324550628662109,
9,0.021867527087749482,0.0011169910430908203, 0.021533813448759695,0.0011169910430908203,
5,0.02940410851452262,0.0011434555053710938, 0.025371111003891986,0.0011434555053710938,
6,0.02940410851452262,0.0008862018585205078, 0.024622311412838587,0.0008862018585205078,
6,0.02792140760667168,0.0009839534759521484, 0.024622311412838566,0.0009839534759521484,
5,0.02839089103910695,0.0009367465972900391, 0.025371111003891965,0.0009367465972900391,
10,0.02839089103910695,0.0008573532104492188, 0.020521051011132243,0.0008573532104492188,
7,0.02893462508208735,0.0009026527404785156, 0.024179769106602928,0.0009026527404785156,
10,0.021867527087749482,0.0008313655853271484, 0.020521051011132243,0.0008313655853271484,
6,0.02839089103910695,0.0008270740509033203, 0.024622311412838545,0.0008270740509033203,
7,0.02839089103910695,0.0008947849273681641, 0.024179769106602928,0.0008947849273681641,
7,0.02839089103910695,0.0009050369262695312, 0.024179769106602928,0.0009050369262695312,
6,0.02839089103910695,0.0010046958923339844, 0.024622311412838545,0.0010046958923339844,
11,0.02288074456316515,0.000946044921875, 0.021486737502326693,0.000946044921875,
8,0.02940410851452262,0.0008294582366943359, 0.025773210321932423,0.0008294582366943359,
11,0.021867527087749482,0.0008695125579833984, 0.021486737502326648,0.0008695125579833984,
7,0.02839089103910695,0.0007879734039306641, 0.02417976910660289,0.0007879734039306641,
8,0.02940410851452262,0.0008251667022705078, 0.025773210321932402,0.0008251667022705078,
12,0.02839089103910695,0.0008783340454101562, 0.021008278509706258,0.0008783340454101562,
8,0.02940410851452262,0.0008702278137207031, 0.02577321032193244,0.0008702278137207031,
7,0.02839089103910695,0.0010471343994140625, 0.024179769106602952,0.0010471343994140625,
9,0.021867527087749482,0.001049041748046875, 0.021533813448759695,0.001049041748046875,
12,0.02940410851452262,0.0009160041809082031, 0.021008278509706234,0.0009160041809082031,
8,0.02940410851452262,0.0007550716400146484, 0.02577321032193244,0.0007550716400146484,
9,0.021867527087749482,0.0009641647338867188, 0.021533813448759716,0.0009641647338867188,
13,0.02893462508208735,0.0009591579437255859, 0.022433868563707035,0.0009591579437255859,
9,0.02839089103910695,0.0009589195251464844, 0.021533813448759716,0.0009589195251464844,
8,0.02940410851452262,0.0009648799896240234, 0.02577321032193238,0.0009648799896240234,
10,0.02839089103910695,0.0009779930114746094, 0.020521051011132264,0.0009779930114746094,
13,0.0324368270316137,0.0009095668792724609, 0.022433868563706973,0.0009095668792724609,
9,0.02940410851452262,0.0008587837219238281, 0.021533813448759716,0.0008587837219238281,
10,0.028936358559376357,0.0009725093841552734, 0.020521051011132222,0.0009725093841552734,
14,0.02288074456316515,0.0009691715240478516, 0.02269793734500408,0.0009691715240478516,
10,0.02241299460801889,0.0009925365447998047, 0.020521051011132243,0.0009925365447998047,
9,0.02241299460801889,0.0008580684661865234, 0.021533813448759695,0.0008580684661865234,
11,0.021867527087749482,0.0010175704956054688, 0.021486737502326648,0.0010175704956054688,
14,0.0324368270316137,0.0011277198791503906, 0.02269793734500412,0.0011277198791503906,
10,0.021867527087749482,0.0010137557983398438, 0.020521051011132243,0.0010137557983398438,
11,0.021867527087749482,0.001009225845336914, 0.021486737502326672,0.001009225845336914,
11,0.02940410851452262,0.0010077953338623047, 0.02148673750232671,0.0010077953338623047,
10,0.02839089103910695,0.0010573863983154297, 0.020521051011132264,0.0010573863983154297,
15,0.02241299460801889,0.0009474754333496094, 0.021522427873621186,0.0009474754333496094,
12,0.021867527087749482,0.0010418891906738281, 0.021008278509706216,0.0010418891906738281,
15,0.02940410851452262,0.0010287761688232422, 0.021522427873621186,0.0010287761688232422,
11,0.02288074456316515,0.0009837150573730469, 0.02148673750232671,0.0009837150573730469,
12,0.021867527087749482,0.0011909008026123047, 0.021008278509706216,0.0011909008026123047,
16,0.02288074456316515,0.0009031295776367188, 0.021981325056556898,0.0009031295776367188,
12,0.02241299460801889,0.0009672641754150391, 0.021008278509706216,0.0009672641754150391,
11,0.021867527087749482,0.0010137557983398438, 0.021486737502326693,0.0010137557983398438,
13,0.028936358559376357,0.0009329319000244141, 0.022433868563706973,0.0009329319000244141,
16,0.02288074456316515,0.0008616447448730469, 0.021981325056556877,0.0008616447448730469,
12,0.021867527087749482,0.0008897781372070312, 0.021008278509706258,0.0008897781372070312,
13,0.02288074456316515,0.0010471343994140625, 0.022433868563706997,0.0010471343994140625,
12,0.02839089103910695,0.0008742809295654297, 0.021008278509706234,0.0008742809295654297,
13,0.031969077076467435,0.0012707710266113281, 0.022433868563706997,0.0012707710266113281,
14,0.02940410851452262,0.000978708267211914, 0.0226979373450041,0.000978708267211914,
13,0.02940410851452262,0.0009694099426269531, 0.022433868563706973,0.0009694099426269531,
14,0.02940410851452262,0.0009663105010986328, 0.02269793734500408,0.0009663105010986328,
13,0.02288074456316515,0.0009238719940185547, 0.022433868563706973,0.0009238719940185547,
14,0.02940410851452262,0.0009810924530029297, 0.0226979373450041,0.0009810924530029297,
15,0.03861956269568429,0.0008800029754638672, 0.021522427873621186,0.0008800029754638672,
15,0.02288074456316515,0.0008895397186279297, 0.021522427873621207,0.0008895397186279297,
14,0.02288074456316515,0.0009167194366455078, 0.0226979373450041,0.0009167194366455078,
14,0.02288074456316515,0.0010960102081298828, 0.0226979373450041,0.0010960102081298828,
15,0.02940410851452262,0.0011179447174072266, 0.021522427873621186,0.0011179447174072266,
16,0.02893462508208735,0.001035928726196289, 0.02198132505655686,0.001035928726196289,
16,0.02940410851452262,0.0010221004486083984, 0.021981325056556898,0.0010221004486083984,
15,0.02288074456316515,0.0009026527404785156, 0.021522427873621228,0.0009026527404785156,
15,0.02288074456316515,0.0009515285491943359, 0.021522427873621186,0.0009515285491943359,
16,0.02940410851452262,0.0009324550628662109, 0.021981325056556877,0.0009324550628662109,
16,0.02893462508208735,0.0009694099426269531, 0.021981325056556898,0.0009694099426269531,
16,0.02940410851452262,0.0010256767272949219, 0.021981325056556818,0.0010256767272949219,
