switch,regression_tree_DispFrames_nmae,time_to_train_regression_tree_s,random_forest_DispFrames_nmae,time_to_train_random_forest_s,
SWA6,0.01408450704225352,0.0006999969482421875,0.01408450704225352,0.0006999969482421875,
SWA3,0.01408450704225352,0.0009925365447998047,0.01408450704225352,0.0009925365447998047,
SWC4,0.01408450704225352,0.0007214546203613281,0.01408450704225352,0.0007214546203613281,
SWA1,0.01408450704225352,0.0009801387786865234,0.01408450704225352,0.0009801387786865234,
SWA1,0.01408450704225352,0.0007503032684326172,0.01408450704225352,0.0007503032684326172,
SWA2,0.01408450704225352,0.0009129047393798828,0.01408450704225352,0.0009129047393798828,
SWC1,0.01408450704225352,0.0010228157043457031,0.01408450704225352,0.0010228157043457031,
SWB1,0.01408450704225352,0.0008039474487304688,0.01408450704225352,0.0008039474487304688,
SWA4,0.01408450704225352,0.0008831024169921875,0.01408450704225352,0.0008831024169921875,
SWA1,0.01408450704225352,0.0008797645568847656,0.01408450704225352,0.0008797645568847656,
SWA2,0.01408450704225352,0.0007078647613525391,0.01408450704225352,0.0007078647613525391,
SWA2,0.01408450704225352,0.0009491443634033203,0.01408450704225352,0.0009491443634033203,
SWA3,0.01408450704225352,0.0006871223449707031,0.01408450704225352,0.0006871223449707031,
SWC2,0.01408450704225352,0.0007951259613037109,0.01408450704225352,0.0007951259613037109,
SWB2,0.01408450704225352,0.0009307861328125,0.01408450704225352,0.0009307861328125,
SWA5,0.01408450704225352,0.0008957386016845703,0.01408450704225352,0.0008957386016845703,
SWA2,0.01408450704225352,0.0006973743438720703,0.01408450704225352,0.0006973743438720703,
SWA3,0.01408450704225352,0.0006585121154785156,0.01408450704225352,0.0006585121154785156,
SWA3,0.01408450704225352,0.0007970333099365234,0.01408450704225352,0.0007970333099365234,
SWA4,0.01408450704225352,0.0008714199066162109,0.01408450704225352,0.0008714199066162109,
SWC3,0.01408450704225352,0.0007729530334472656,0.01408450704225352,0.0007729530334472656,
SWB3,0.01408450704225352,0.0006639957427978516,0.01408450704225352,0.0006639957427978516,
SWA6,0.01408450704225352,0.0008568763732910156,0.01408450704225352,0.0008568763732910156,
SWA3,0.01408450704225352,0.0007154941558837891,0.01408450704225352,0.0007154941558837891,
SWA4,0.01408450704225352,0.0006420612335205078,0.01408450704225352,0.0006420612335205078,
SWA4,0.01408450704225352,0.0007815361022949219,0.01408450704225352,0.0007815361022949219,
SWA5,0.01408450704225352,0.0007717609405517578,0.01408450704225352,0.0007717609405517578,
SWC4,0.01408450704225352,0.0007832050323486328,0.01408450704225352,0.0007832050323486328,
SWB4,0.01408450704225352,0.0007326602935791016,0.01408450704225352,0.0007326602935791016,
SWB1,0.01408450704225352,0.0007922649383544922,0.01408450704225352,0.0007922649383544922,
SWA5,0.01408450704225352,0.0006759166717529297,0.01408450704225352,0.0006759166717529297,
SWA4,0.01408450704225352,0.0007460117340087891,0.01408450704225352,0.0007460117340087891,
SWA5,0.01408450704225352,0.0006678104400634766,0.01408450704225352,0.0006678104400634766,
SWA6,0.01408450704225352,0.0007274150848388672,0.01408450704225352,0.0007274150848388672,
SWA1,0.01408450704225352,0.0006945133209228516,0.01408450704225352,0.0006945133209228516,
SWB2,0.01408450704225352,0.0008225440979003906,0.01408450704225352,0.0008225440979003906,
SWA6,0.01408450704225352,0.0009458065032958984,0.01408450704225352,0.0009458065032958984,
SWA5,0.01408450704225352,0.000690460205078125,0.01408450704225352,0.000690460205078125,
SWA6,0.01408450704225352,0.0007159709930419922,0.01408450704225352,0.0007159709930419922,
SWB1,0.01408450704225352,0.0008649826049804688,0.01408450704225352,0.0008649826049804688,
SWA2,0.01408450704225352,0.0006971359252929688,0.01408450704225352,0.0006971359252929688,
SWB3,0.01408450704225352,0.0009145736694335938,0.01408450704225352,0.0009145736694335938,
SWB1,0.01408450704225352,0.0006849765777587891,0.01408450704225352,0.0006849765777587891,
SWA6,0.01408450704225352,0.0006864070892333984,0.01408450704225352,0.0006864070892333984,
SWB1,0.01408450704225352,0.000978231430053711,0.01408450704225352,0.000978231430053711,
SWB2,0.01408450704225352,0.0009448528289794922,0.01408450704225352,0.0009448528289794922,
SWA3,0.01408450704225352,0.0008339881896972656,0.01408450704225352,0.0008339881896972656,
SWB4,0.01408450704225352,0.0008258819580078125,0.01408450704225352,0.0008258819580078125,
SWB1,0.01408450704225352,0.001026153564453125,0.01408450704225352,0.001026153564453125,
SWB2,0.01408450704225352,0.000957489013671875,0.01408450704225352,0.000957489013671875,
SWB2,0.01408450704225352,0.0007145404815673828,0.01408450704225352,0.0007145404815673828,
SWB3,0.01408450704225352,0.0006716251373291016,0.01408450704225352,0.0006716251373291016,
SWA4,0.01408450704225352,0.0006811618804931641,0.01408450704225352,0.0006811618804931641,
SWB3,0.01408450704225352,0.0006585121154785156,0.01408450704225352,0.0006585121154785156,
SWB3,0.01408450704225352,0.0009164810180664062,0.01408450704225352,0.0009164810180664062,
SWB4,0.01408450704225352,0.0007009506225585938,0.01408450704225352,0.0007009506225585938,
SWB2,0.01408450704225352,0.0009007453918457031,0.01408450704225352,0.0009007453918457031,
SWA5,0.01408450704225352,0.0009295940399169922,0.01408450704225352,0.0009295940399169922,
SWB4,0.01408450704225352,0.0007846355438232422,0.01408450704225352,0.0007846355438232422,
SWB3,0.01408450704225352,0.0008473396301269531,0.01408450704225352,0.0008473396301269531,
SWB4,0.01408450704225352,0.0010800361633300781,0.01408450704225352,0.0010800361633300781,
SWA6,0.01408450704225352,0.0009520053863525391,0.01408450704225352,0.0009520053863525391,
SWB4,0.01408450704225352,0.0006639957427978516,0.01408450704225352,0.0006639957427978516,
SWB1,0.01408450704225352,0.0008904933929443359,0.01408450704225352,0.0008904933929443359,
SWB2,0.01408450704225352,0.0008127689361572266,0.01408450704225352,0.0008127689361572266,
SWB3,0.01408450704225352,0.0009810924530029297,0.01408450704225352,0.0009810924530029297,
SWB4,0.01408450704225352,0.0007011890411376953,0.01408450704225352,0.0007011890411376953,
